식품명,식품대분류명,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),칼슘(mg),칼륨(mg),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),과당(g),유당(g),자당(g),포도당(g),식품중량,식종
멸치볶음,볶음류,276,27.5,39.44,7.08,12.4,13.62,11.6,1051.0,598.0,2606,368.7,1.28,0.04,0.12,0.0,7.3,0.0,50g,한식
미역줄기볶음,볶음류,77,86.8,0.96,5.95,1.49,4.85,0.55,63.0,63.0,505,0.0,0.89,0.04,0.06,0.0,0.0,0.06,80g,한식
브로콜리볶음,볶음류,51,87.6,4.42,1.28,1.14,5.53,1.42,26.0,412.0,94,0.0,0.22,0.0,0.73,0.0,0.14,0.54,90g,한식
새우볶음,볶음류,83,80.5,9.91,2.21,1.46,5.96,3.99,31.0,271.0,326,79.67,0.38,0.03,1.67,0.0,0.94,1.38,200g,한식
소시지볶음,볶음류,280,51.7,11.94,19.38,2.59,14.41,5.83,54.0,158.0,887,28.41,5.8,0.09,0.29,0.0,2.47,0.82,200g,한식
애호박 볶음,볶음류,59,88.0,1.32,3.62,1.82,5.3,0.42,34.0,235.0,447,0.0,0.44,0.04,0.2,0.0,0.06,0.02,50g,한식
양파볶음,볶음류,56,86.9,0.99,1.54,1.06,9.51,9.15,18.0,139.0,274,0.0,0.11,0.01,2.26,0.0,4.68,2.23,80g,한식
어묵볶음,볶음류,197,57.6,8.41,7.29,2.37,24.33,6.31,43.0,130.0,818,16.64,1.32,0.05,0.13,0.0,5.77,0.25,140g,한식
오징어볶음,볶음류,128,74.5,9.85,6.52,1.69,7.43,1.93,33.0,278.0,310,109.18,1.0,0.04,0.9,0.0,0.0,0.79,200g,한식
유산슬,볶음류,86,82.9,7.54,4.4,1.09,4.1,2.15,15.0,241.0,211,30.27,0.78,0.03,1.08,0.0,0.09,0.85,220g,한식
잡채,볶음류,146,66.3,4.71,3.3,1.45,24.26,0.73,36.0,201.0,360,22.66,0.55,0.07,0.05,0.0,0.02,0.52,200g,한식
팔보채,볶음류,90,78.0,12.42,2.9,3.23,3.42,2.09,111.0,259.0,856,50.98,0.39,0.02,0.45,0.0,0.72,0.3,220g,한식
풋고추볶음,볶음류,70,85.5,1.93,3.23,1.13,8.25,4.34,18.0,211.0,276,0.0,0.58,0.03,1.67,0.0,1.22,1.45,100g,한식
감자조림,조림류,114,74.1,2.4,3.52,1.9,18.1,7.68,18.0,401.0,487,0.0,0.42,0.02,0.8,0.0,3.44,1.18,50g,한식
고등어조림,조림류,141,73.9,11.25,8.84,1.87,4.1,3.39,49.0,346.0,390,30.05,2.14,0.05,1.0,0.0,0.58,1.45,100g,한식
꽁치조림,조림류,244,59.6,15.52,17.87,1.82,5.14,4.05,78.0,310.0,350,32.81,3.52,2.48,0.51,0.0,3.26,0.28,100g,한식
닭볶음탕,조림류,111,74.7,11.91,3.22,1.65,8.52,0.42,20.0,327.0,376,42.44,1.19,0.03,0.11,0.0,0.04,0.0,300g,한식
닭조림,조림류,197,62.4,18.03,10.9,2.07,6.57,0.5,45.0,376.0,470,70.32,2.73,0.07,0.35,0.0,0.0,0.0,150g,한식
두부조림,조림류,143,75.0,9.64,9.66,1.34,4.4,3.64,53.0,187.0,161,0.0,1.36,0.02,0.58,0.0,0.68,0.56,50g,한식
땅콩조림,조림류,483,21.7,18.75,36.4,3.25,19.95,9.85,88.0,518.0,574,0.0,5.8,0.05,0.25,0.0,5.3,0.45,20g,한식
멸치조림,조림류,318,22.8,40.92,13.22,14.14,8.93,7.35,1578.0,743.0,3163,384.78,2.27,0.09,0.0,0.0,7.21,0.14,100g,한식
무조림,조림류,48,88.2,2.26,2.38,2.91,4.29,3.87,22.0,446.0,779,0.64,0.35,0.04,2.51,0.0,0.09,1.27,150g,한식
미트볼조림,조림류,221,56.5,18.15,10.73,1.71,12.95,10.52,24.0,405.0,315,29.48,2.12,0.08,1.25,0.0,5.07,1.16,150g,한식
버섯조림,조림류,60,85.8,4.38,2.0,1.59,6.23,1.95,10.0,308.0,302,0.0,1.47,0.06,0.09,0.0,0.0,0.0,150g,한식
병어조림,조림류,112,74.9,12.46,4.78,2.99,4.87,0.22,61.0,255.0,842,40.81,2.07,0.12,0.22,0.0,0.0,0.0,100g,한식
삼치조림,조림류,125,73.7,15.88,5.63,2.18,2.61,2.03,52.0,427.0,441,51.41,1.64,0.04,0.72,0.0,0.63,0.66,100g,한식
양미리조림,조림류,65,81.7,5.76,0.66,2.85,9.09,2.2,129.0,324.0,711,49.59,0.29,0.01,0.57,0.0,0.38,1.19,100g,한식
어묵조림,조림류,159,64.5,5.83,4.73,1.81,23.16,2.43,40.0,174.0,428,7.84,0.81,0.05,0.88,0.0,0.51,1.04,200g,한식
연근조림,조림류,174,60.3,2.68,5.1,2.52,29.42,2.78,33.0,258.0,661,0.0,0.64,0.02,0.06,0.0,1.32,0.06,50g,한식
오징어조림,조림류,137,63.9,16.55,2.37,4.75,12.45,6.85,27.0,275.0,1469,172.74,0.63,0.01,0.0,0.0,5.69,0.67,150g,한식
오징어채조림,조림류,240,42.7,23.52,4.9,3.48,25.36,13.78,47.0,143.0,1130,236.72,0.82,0.02,0.0,0.0,0.0,8.56,50g,한식
우엉조림,조림류,188,53.0,4.8,3.33,4.07,34.8,28.43,75.0,388.0,1174,0.0,0.53,0.07,2.43,0.0,19.1,1.03,30g,한식
쥐포조림,조림류,276,38.0,13.03,8.86,4.03,36.12,23.37,198.0,215.0,1265,50.56,1.3,0.04,0.71,0.0,20.09,0.37,100g,한식
코다리조림,조림류,86,76.9,16.46,0.4,2.08,4.16,3.67,73.0,353.0,466,66.8,0.17,0.02,0.79,0.0,0.19,0.68,100g,한식
콩조림(콩자반),조림류,281,35.3,17.97,7.73,4.1,34.83,3.53,91.0,602.0,868,0.0,0.67,0.0,0.07,0.0,2.07,0.07,30g,한식
감자튀김,튀김류,312,41.2,4.55,17.01,2.11,35.15,0.37,13.0,657.0,78,0.0,3.29,0.07,0.08,0.0,0.17,0.09,150g,한식
김튀김,튀김류,522,2.4,11.0,28.9,3.34,54.36,0.14,51.0,577.0,606,0.0,5.36,0.2,0.0,0.0,0.0,0.14,50g,한식
다시마튀각,튀김류,462,5.1,8.44,26.52,12.58,47.32,17.24,526.0,3798.0,1305,0.0,4.08,0.32,0.0,0.0,17.24,0.0,50g,한식
떡강정,튀김류,249,42.3,3.79,4.72,1.33,47.89,5.34,10.0,91.0,446,0.0,0.96,0.05,0.29,0.0,2.92,0.31,200g,한식
미역튀각,튀김류,443,6.2,13.24,33.9,25.5,21.14,11.36,616.0,282.0,5223,0.0,5.42,0.48,0.0,0.0,11.36,0.0,50g,한식
가지나물,나물·숙채류,36,91.8,1.42,1.5,1.12,4.18,2.34,23.0,222.0,274,0.0,0.22,0.0,1.12,0.0,0.16,1.04,50g,한식
고구마줄기나물,나물·숙채류,83,86.5,0.98,7.0,1.44,4.1,0.0,111.0,122.0,179,0.0,1.16,0.16,0.0,0.0,0.0,0.0,50g,한식
고사리나물무침,나물·숙채류,90,82.9,3.78,5.52,1.5,6.28,0.5,70.0,90.0,441,0.0,0.7,0.02,0.18,0.0,0.0,0.34,50g,한식
고춧잎나물무침,나물·숙채류,88,80.4,4.41,4.69,3.31,7.14,1.51,204.0,397.0,797,0.0,0.74,0.09,0.47,0.0,0.0,0.94,90g,한식
깻잎나물,나물·숙채류,78,85.2,2.68,5.18,1.92,5.04,2.04,93.0,522.0,362,0.0,0.64,0.1,0.18,0.0,1.68,0.2,50g,한식
냉이나물,나물·숙채류,111,73.5,5.02,3.07,2.68,15.7,10.45,136.0,298.0,718,0.0,0.48,0.03,3.07,0.0,3.12,3.48,60g,한식
도라지나물무침,나물·숙채류,130,75.4,2.48,7.52,1.48,13.12,0.9,48.0,135.0,411,0.0,1.0,0.04,0.38,0.0,0.34,0.18,50g,한식
머위대나물무침,나물·숙채류,58,86.7,3.96,2.56,2.0,4.76,0.34,238.0,191.0,363,25.22,0.32,0.02,0.34,0.0,0.0,0.0,50g,한식
무나물무침,나물·숙채류,21,93.9,0.62,0.46,1.34,3.64,3.3,25.0,188.0,352,0.0,0.04,0.0,1.8,0.0,0.0,1.5,50g,한식
방풍나물무침,나물·숙채류,76,81.1,4.39,1.73,2.08,10.74,2.91,178.0,456.0,267,0.0,0.23,0.0,0.79,0.0,1.28,0.85,80g,한식
배추나물,나물·숙채류,61,86.1,2.01,2.19,1.25,8.45,6.24,38.0,246.0,276,0.0,0.29,0.03,1.63,0.0,2.41,1.96,80g,한식
비름나물무침,나물·숙채류,73,84.8,3.46,4.05,2.04,5.7,0.86,195.0,339.0,335,0.0,0.63,0.1,0.14,0.0,0.0,0.73,80g,한식
숙주나물,나물·숙채류,35,91.9,2.22,1.58,1.3,2.96,1.58,15.0,80.0,403,0.0,0.12,0.0,0.88,0.0,0.0,0.7,50g,한식
시금치나물,나물·숙채류,69,86.2,3.74,4.46,2.2,3.36,0.1,86.0,627.0,136,0.0,0.4,0.12,0.0,0.0,0.0,0.0,50g,한식
시래기나물무침,나물·숙채류,114,78.7,4.32,7.28,1.96,7.74,0.54,186.0,75.0,514,0.0,0.9,0.02,0.42,0.0,0.0,0.12,50g,한식
씀바귀나물무침,나물·숙채류,97,76.6,3.87,1.73,1.24,16.57,1.28,46.0,245.0,204,0.0,0.36,0.08,0.43,0.0,0.29,0.56,90g,한식
열무나물,나물·숙채류,82,83.7,3.91,5.3,2.37,4.76,0.6,138.0,479.0,460,0.0,0.66,0.18,0.26,0.0,0.18,0.17,90g,한식
유채나물,나물·숙채류,96,77.5,5.8,4.6,4.29,7.82,1.98,161.0,453.0,1279,0.0,0.59,0.04,1.0,0.0,0.29,0.69,90g,한식
참나물,나물·숙채류,60,88.5,2.51,3.69,1.14,4.14,0.67,88.0,153.0,218,0.0,0.58,0.01,0.23,0.0,0.11,0.32,90g,한식
콩나물무침,나물·숙채류,69,86.9,3.86,4.54,1.48,3.2,0.5,52.0,129.0,387,0.0,0.48,0.0,0.42,0.0,0.0,0.1,50g,한식
토란대나물무침,나물·숙채류,68,85.6,5.14,3.38,1.61,4.22,0.39,304.0,104.0,222,24.41,0.46,0.02,0.12,0.0,0.06,0.2,90g,한식
호박오가리나물무침,나물·숙채류,201,56.3,6.14,10.01,6.1,21.46,6.82,69.0,600.0,1849,0.0,1.65,0.13,3.54,0.0,0.83,2.45,100g,한식
가죽나물무침,생채·무침류,76,80.9,5.83,1.35,1.85,10.05,3.81,69.0,448.0,276,0.0,0.19,0.01,0.98,0.0,0.0,2.09,80g,한식
굴무침,생채·무침류,77,82.4,6.68,2.31,1.3,7.3,2.74,34.0,232.0,204,28.38,0.61,0.03,1.19,0.0,0.0,0.98,80g,한식
김무침,생채·무침류,259,41.6,21.17,10.73,7.1,19.33,5.73,241.0,1287.0,1011,0.0,1.53,0.07,0.27,0.0,5.0,0.43,30g,한식
낙지무침,생채·무침류,77,81.2,12.41,1.24,1.18,3.96,0.14,25.0,135.0,340,136.42,0.17,0.0,0.03,0.0,0.0,0.11,180g,한식
다시마무침,생채·무침류,48,82.0,2.57,1.18,7.42,6.8,0.0,90.0,183.0,2759,13.03,0.28,0.0,0.0,0.0,0.0,0.0,90g,한식
달래무침,생채·무침류,63,85.8,2.92,3.02,2.23,6.07,3.83,56.0,269.0,567,0.0,0.4,0.02,1.4,0.0,0.98,1.45,60g,한식
도라지생채,생채·무침류,77,80.1,2.06,0.51,1.13,16.15,5.25,35.0,162.0,283,0.0,0.13,0.0,0.64,0.0,4.17,0.44,160g,한식
마늘쫑무침,생채·무침류,106,78.1,2.73,4.93,1.53,12.77,7.47,44.0,241.0,313,0.0,0.63,0.03,2.27,0.0,3.37,1.83,30g,한식
무말랭이무침,생채·무침류,121,69.1,4.2,1.55,2.7,22.5,4.1,276.0,405.0,450,1.95,1.25,0.05,0.9,0.0,0.15,0.5,20g,한식
무생채,생채·무침류,49,85.9,2.43,1.11,3.24,7.33,1.78,102.0,259.0,821,8.09,0.16,0.02,0.47,0.0,0.05,1.13,150g,한식
미나리무침,생채·무침류,46,88.3,1.31,2.13,2.8,5.41,2.24,41.0,321.0,765,0.0,0.3,0.01,1.4,0.0,0.0,0.86,90g,한식
미역초무침,생채·무침류,35,90.8,1.18,1.02,1.74,5.24,1.3,79.0,170.0,452,0.0,0.16,0.0,0.6,0.0,0.1,0.36,50g,한식
민들레잎무침,생채·무침류,81,81.0,2.69,2.33,1.68,12.32,8.16,76.0,380.0,248,0.0,0.21,0.01,4.3,0.0,0.36,3.51,90g,한식
부추무침,생채·무침류,92,81.5,3.5,5.92,2.87,6.25,3.06,68.0,492.0,666,14.73,0.79,0.02,1.75,0.0,0.11,1.21,100g,한식
북어채무침,생채·무침류,188,53.0,28.4,2.91,3.65,12.05,5.59,144.0,652.0,756,110.75,0.51,0.02,1.03,0.0,2.03,1.85,150g,한식
양장피,생채·무침류,133,73.3,7.3,6.63,1.85,10.95,0.44,62.0,174.0,496,65.89,1.21,0.03,0.44,0.0,0.0,0.0,220g,한식
오이생채,생채·무침류,69,84.7,1.78,2.9,1.62,8.96,8.04,31.0,254.0,474,0.0,0.14,0.0,2.86,0.0,0.0,4.04,50g,한식
오이지무침,생채·무침류,52,87.0,0.96,3.51,4.31,4.21,2.78,55.0,100.0,1615,0.0,0.41,0.01,1.4,0.0,0.0,1.38,100g,한식
오징어채무침,생채·무침류,258,37.4,23.6,5.53,5.05,28.41,18.71,35.0,156.0,1803,227.73,0.99,0.03,2.13,0.0,0.0,9.94,80g,한식
톳나물무침,생채·무침류,75,81.1,1.87,2.09,2.7,12.28,6.94,91.0,494.0,600,0.0,0.3,0.01,0.19,0.0,5.03,0.69,90g,한식
파래무침,생채·무침류,49,86.4,3.53,1.7,3.37,4.97,1.73,50.0,509.0,736,2.17,0.2,0.03,1.1,0.0,0.0,0.63,30g,한식
파무침,생채·무침류,71,84.1,2.25,2.81,1.75,9.08,8.02,47.0,255.0,424,6.25,0.31,0.01,4.01,0.0,0.33,3.67,150g,한식
풋마늘무침,생채·무침류,71,81.4,4.14,1.04,2.14,11.27,5.95,34.0,444.0,477,0.0,0.11,0.01,1.6,0.0,2.45,1.61,100g,한식
피조개무침,생채·무침류,52,87.0,4.71,0.95,1.3,6.07,3.72,36.0,221.0,223,14.87,0.18,0.01,1.4,0.0,0.0,1.85,100g,한식
해초무침,생채·무침류,39,87.9,0.95,0.16,2.45,8.52,3.95,54.0,39.0,862,0.0,0.06,0.0,0.0,0.0,3.95,0.0,100g,한식
회무침,생채·무침류,82,80.2,8.09,1.65,1.49,8.6,4.53,64.0,348.0,275,26.4,0.52,0.03,1.14,0.0,0.27,2.01,250g,한식
돌나물무침,생채·무침류,69,85.3,1.66,3.18,1.52,8.3,5.26,125.0,149.0,360,0.0,0.5,0.06,0.94,0.0,1.38,1.3,50g,한식
고들빼기김치,김치류,71,81.8,3.0,1.38,2.34,11.52,4.4,69.0,257.0,605,3.9,0.14,0.0,1.82,0.0,0.0,2.58,50g,한식
깍두기,김치류,33,90.5,1.56,1.06,2.6,4.24,2.54,45.0,283.0,808,3.06,0.04,0.0,1.24,0.0,0.0,1.08,50g,한식
깻잎김치,김치류,62,83.3,2.82,1.72,3.26,8.92,4.04,72.0,384.0,924,0.0,0.08,0.0,1.46,0.0,1.32,1.26,50g,한식
나박김치,김치류,10,96.8,0.46,0.38,1.23,1.15,0.34,8.0,89.0,377,0.0,0.02,0.0,0.18,0.0,0.02,0.15,100g,한식
동치미,김치류,14,95.9,0.29,0.37,1.15,2.28,1.45,7.0,87.0,412,0.0,0.01,0.0,0.53,0.0,0.3,0.63,200g,한식
보쌈김치,김치류,30,91.0,2.19,0.72,2.36,3.73,1.69,38.0,261.0,661,5.98,0.04,0.0,0.77,0.0,0.0,0.9,90g,한식
부추김치,김치류,47,86.9,2.68,1.16,2.88,6.36,4.08,37.0,435.0,761,0.0,0.1,0.0,1.5,0.0,1.58,1.0,50g,한식
얼갈이배추김치,김치류,63,84.8,1.59,1.45,1.23,10.94,0.38,57.0,189.0,246,0.0,0.05,0.0,0.14,0.0,0.0,0.23,80g,한식
오이김치,김치류,38,89.5,2.06,0.8,2.03,5.64,2.37,35.0,373.0,466,0.0,0.11,0.0,1.37,0.0,0.0,1.0,70g,한식
가자미식해,젓갈류,134,69.3,11.09,4.81,3.16,11.64,3.71,296.0,253.0,685,73.81,0.7,0.03,1.28,0.0,0.0,1.92,250g,한식
단무지,장아찌·절임류,13,95.6,0.33,0.2,1.53,2.4,0.47,11.0,49.0,552,0.0,0.03,0.0,0.17,0.0,0.0,0.27,30g,한식
더덕장아찌,장아찌·절임류,141,62.0,4.47,0.89,3.77,28.9,15.38,38.0,320.0,1167,0.0,0.23,0.0,2.11,0.0,3.2,6.11,90g,한식
무짠지,장아찌·절임류,11,91.0,0.54,0.12,6.34,1.98,1.58,19.0,137.0,2382,0.0,0.02,0.0,1.28,0.0,0.0,0.3,50g,한식
무초절임(치킨무),장아찌·절임류,17,95.4,0.52,0.3,0.71,3.05,1.75,17.0,94.0,189,0.0,0.02,0.0,0.78,0.0,0.0,0.97,130g,한식
오이장아찌,장아찌·절임류,14,94.8,0.36,0.28,2.02,2.54,1.04,21.0,18.0,740,0.0,0.04,0.0,0.78,0.0,0.0,0.26,50g,한식
오이지,장아찌·절임류,21,90.1,0.74,0.72,5.62,2.84,0.0,22.0,163.0,2050,0.0,0.04,0.0,0.0,0.0,0.0,0.0,50g,한식
미숫가루,음료 및 차류,70,84.8,2.08,2.27,0.4,10.42,0.0,27.0,105.0,24,0.0,0.36,0.0,0.0,0.0,0.0,0.0,300g,한식
육회,수·조·어·육류,130,73.9,9.93,6.43,1.63,8.12,5.29,12.0,236.0,418,28.09,2.11,0.08,1.23,0.0,2.55,1.51,150g,한식
계란 덮밥,밥류,143,66.9,4.31,2.82,0.84,25.14,3.07,17.0,74.0,223,45.54,0.61,0.01,,,,,100g,한식
곤드레나물밥,밥류,149,65.8,2.94,2.71,0.29,28.26,0.0,42.0,31.0,26,0.0,0.26,0.0,0.0,0.0,0.0,0.0,350g,한식
국밥,밥류,52,87.4,3.45,1.03,0.83,7.33,0.05,25.0,64.0,288,5.98,0.34,0.03,0.05,0.0,0.0,0.0,800g,한식
귀리밥,밥류,162,60.4,3.9,0.87,0.24,34.54,0.09,11.0,47.0,0,0.0,0.16,0.0,,,,,100g,한식
묵밥,밥류,68,83.3,1.56,0.81,0.76,13.54,1.59,11.0,60.0,218,4.49,0.16,0.0,0.05,0.0,0.0,0.0,950g,한식
새우튀김롤,밥류,202,55.5,4.82,6.06,1.56,32.09,3.71,54.0,77.0,464,18.62,1.14,0.04,1.56,0.0,0.39,1.04,300g,한식
쌀밥,밥류,166,58.9,3.36,0.32,0.11,37.33,0.02,6.0,26.0,0,0.0,0.1,0.0,,,,,100g,한식
연어롤,밥류,170,62.5,6.19,5.13,1.44,24.77,2.82,45.0,110.0,404,20.66,0.94,0.03,1.22,0.0,0.11,0.79,300g,한식
연잎밥,밥류,207,48.1,4.0,0.3,0.6,47.0,,14.0,98.0,178,,0.0,0.0,,,,,100g,한식
오곡밥,밥류,156,61.3,4.78,0.52,0.47,32.93,0.07,11.0,113.0,46,0.0,0.17,0.0,0.07,0.0,0.0,0.0,250g,한식
잡탕밥,밥류,104,76.5,5.88,2.68,0.94,13.99,0.06,24.0,69.0,281,43.98,0.54,0.02,0.05,0.0,0.0,0.01,750g,한식
충무김밥,밥류,146,64.0,5.86,1.49,1.38,27.29,4.3,19.0,165.0,324,39.21,0.27,0.01,0.22,0.0,0.07,0.15,400g,한식
캘리포니아롤,밥류,163,61.6,4.11,3.02,1.49,29.74,2.97,49.0,76.0,432,21.99,0.71,0.02,1.64,0.0,0.05,0.96,300g,한식
회덮밥,밥류,137,69.2,6.04,3.31,0.8,20.66,2.19,24.0,163.0,149,17.73,0.58,0.02,0.08,0.0,0.03,0.63,500g,한식
개피떡(바람떡),빵 및 과자류,206,48.7,5.32,0.81,0.92,44.3,7.62,14.0,66.0,286,0.0,0.26,0.01,,,,,100g,한식
기피편,빵 및 과자류,220,44.2,5.45,0.25,1.13,48.99,2.08,12.0,131.0,281,0.0,0.13,0.0,1.21,0.0,0.85,0.0,100g,한식
무지개떡,빵 및 과자류,229,42.4,3.53,0.31,0.8,53.01,8.99,10.0,32.0,277,0.0,0.16,0.0,0.29,0.0,7.96,0.7,100g,한식
빙떡(메밀전병),빵 및 과자류,168,64.6,6.18,6.29,1.34,21.62,0.62,36.0,159.0,346,8.05,1.19,0.04,0.41,0.0,0.0,0.0,100g,한식
수수경단,빵 및 과자류,218,46.2,8.2,1.4,1.1,43.1,,14.0,1182.0,238,,0.0,0.0,,,,,100g,한식
수수부꾸미,빵 및 과자류,248,44.5,5.73,6.29,1.36,42.1,0.24,17.0,191.0,261,0.0,0.97,0.03,0.24,0.0,0.0,0.0,100g,한식
수수팥떡,빵 및 과자류,204,48.3,6.7,0.59,1.34,43.03,2.82,21.0,249.0,242,0.0,0.16,0.0,2.23,0.0,0.59,0.0,100g,한식
쑥떡,빵 및 과자류,249,37.5,3.36,0.4,0.84,57.89,10.72,17.0,75.0,254,0.0,0.2,0.0,0.39,0.0,5.13,0.28,100g,한식
절편,빵 및 과자류,197,51.0,3.82,0.8,0.81,43.58,0.08,16.0,29.0,258,0.0,0.25,0.0,,,,,100g,한식
찰시루떡,빵 및 과자류,181,54.2,6.63,0.41,1.13,37.63,1.22,21.0,265.0,182,0.0,0.13,0.0,,,,,100g,한식
찹쌀떡,빵 및 과자류,277,29.8,3.26,0.15,0.78,65.61,17.54,12.0,53.0,226,0.0,0.15,0.0,0.27,0.0,12.84,0.6,100g,한식
다쿠아즈,빵 및 과자류,447,20.4,8.33,26.65,1.24,43.39,38.13,38.0,291.0,51,39.99,12.93,0.23,,,,,100g,한식
마카롱,빵 및 과자류,480,16.6,6.92,30.11,1.11,45.23,41.94,112.0,265.0,47,26.1,14.96,0.26,,,,,100g,한식
버터크림빵,빵 및 과자류,383,26.1,8.18,18.41,1.11,46.23,11.99,40.0,113.0,319,29.69,14.06,0.46,2.92,0.7,4.85,1.93,60g,한식
프레즐,빵 및 과자류,312,28.1,8.37,6.45,1.99,55.14,7.94,66.0,125.0,215,19.78,4.25,0.11,,,,,100g,한식
핫도그,빵 및 과자류,341,41.9,7.98,23.23,1.96,24.95,3.95,29.0,58.0,398,12.64,3.44,0.05,,,,,100g,한식
매작과,빵 및 과자류,413,12.6,7.51,13.15,0.63,66.11,16.42,33.0,107.0,99,33.42,2.35,0.1,1.6,0.0,7.3,2.2,30g,한식
산자,빵 및 과자류,366,12.2,2.31,3.09,0.24,82.17,31.35,6.0,41.0,23,0.0,0.09,0.0,0.3,0.0,0.73,1.1,30g,한식
약과,빵 및 과자류,399,5.9,4.2,4.75,0.31,84.89,16.89,12.0,73.0,57,0.0,1.22,0.04,0.23,0.0,1.93,0.53,30g,한식
유과,빵 및 과자류,424,9.7,2.81,12.83,0.38,74.23,24.15,58.0,35.0,23,0.0,1.37,0.04,0.37,0.0,1.23,2.1,30g,한식
기스면,면 및 만두류,61,85.3,3.78,1.07,0.85,8.98,0.05,34.0,46.0,276,41.65,0.21,0.0,0.0,0.0,0.0,0.0,1000g,한식
만두국,면 및 만두류,62,86.4,3.06,2.49,1.2,6.83,0.44,18.0,73.0,338,13.5,0.61,0.01,0.27,0.0,0.0,0.08,700g,한식
분짜,면 및 만두류,136,70.4,5.91,3.66,0.33,19.75,5.47,12.0,106.0,398,17.97,1.15,0.01,,,,,100g,한식
비빔국수,면 및 만두류,113,73.3,3.4,2.1,1.2,20.0,,21.0,101.0,337,,0.0,0.0,,,,,100g,한식
쌀국수,면 및 만두류,53,86.7,2.6,0.7,0.8,9.18,0.72,7.0,42.0,275,5.6,0.23,0.02,0.28,0.0,0.1,0.13,600g,한식
올갱이국수,면 및 만두류,38,90.5,0.75,0.55,0.73,7.44,1.24,16.0,53.0,258,0.0,0.1,0.0,0.09,0.0,0.0,0.09,1500g,한식
울면,면 및 만두류,73,81.8,3.75,0.74,0.89,12.82,0.05,29.0,55.0,280,44.58,0.18,0.0,0.05,0.0,0.01,0.0,1000g,한식
팟타이,면 및 만두류,146,70.4,3.98,6.2,0.91,18.54,5.41,55.0,102.0,270,39.68,0.96,0.03,,,,,100g,한식
게살죽,죽 및 스프류,71,82.8,2.24,0.89,0.61,13.42,0.02,13.0,43.0,182,6.27,0.26,0.01,0.02,0.0,0.0,0.0,800g,한식
깨죽,죽 및 스프류,64,85.8,1.71,1.99,0.62,9.91,0.45,50.0,28.0,145,0.0,0.35,0.0,0.01,0.0,0.44,0.0,800g,한식
미음,죽 및 스프류,19,95.0,0.3,0.0,0.0,4.7,0.0,0.0,4.0,0,0.0,0.0,0.0,,,,,100g,한식
백합죽,죽 및 스프류,65,84.2,2.36,0.8,0.5,12.1,0.0,16.0,42.0,142,4.59,0.19,0.0,0.0,0.0,0.0,0.0,700g,한식
소고기버섯죽,죽 및 스프류,72,82.5,2.34,0.93,0.55,13.63,0.03,7.0,52.0,158,3.26,0.34,0.02,0.03,0.0,0.0,0.0,800g,한식
쌀죽(흰죽),죽 및 스프류,53,87.4,0.99,0.15,0.04,11.45,0.0,0.0,6.0,0,0.0,0.05,0.0,,,,,100g,한식
어죽,죽 및 스프류,69,83.1,2.55,0.94,0.86,12.6,1.23,24.0,86.0,263,4.43,0.21,0.0,0.15,0.0,0.1,0.4,800g,한식
율무죽,죽 및 스프류,77,81.8,3.26,0.98,0.22,13.75,0.1,3.0,58.0,1,0.0,0.15,0.0,,,,,100g,한식
잣죽,죽 및 스프류,125,71.8,2.74,2.8,0.45,22.18,0.34,5.0,44.0,126,0.0,0.28,0.03,0.04,0.0,0.3,0.0,700g,한식
참깨죽,죽 및 스프류,38,91.6,1.0,1.2,0.3,5.9,,17.0,23.0,120,,0.0,0.0,,,,,100g,한식
참치죽,죽 및 스프류,82,81.3,3.02,2.01,0.6,13.07,0.17,10.0,71.0,168,5.0,0.23,0.01,0.14,0.0,0.01,0.03,800g,한식
현미죽,죽 및 스프류,64,83.0,1.2,0.4,0.2,15.2,0.4,3.0,41.0,1,0.0,0.09,0.0,,,,,100g,한식
게국지,국 및 탕류,38,90.4,4.08,1.1,1.5,2.88,0.98,120.0,144.0,368,35.29,0.18,0.02,0.37,0.0,0.12,0.45,1100g,한식
곰치국,국 및 탕류,42,89.5,5.43,1.18,1.5,2.39,0.28,71.0,135.0,380,47.65,0.14,0.01,0.18,0.0,0.0,0.09,1000g,한식
낙지탕,국 및 탕류,31,91.8,4.9,0.53,1.07,1.73,0.32,18.0,107.0,284,48.74,0.07,0.0,0.22,0.0,0.03,0.07,600g,한식
매생이국,국 및 탕류,24,93.8,2.0,0.56,0.98,2.68,0.08,25.0,66.0,284,1.32,0.12,0.02,0.0,0.0,0.02,0.0,500g,한식
미소된장국,국 및 탕류,25,94.1,1.87,1.2,1.0,1.87,0.47,18.0,59.0,345,0.0,0.13,0.0,0.07,0.0,0.07,0.33,150g,한식
소탕,국 및 탕류,58,89.0,5.1,3.57,1.1,1.27,0.02,55.0,105.0,236,0.0,0.39,0.01,0.02,0.0,0.0,0.0,150g,한식
아구탕,국 및 탕류,41,89.5,6.3,0.82,1.25,2.13,0.3,50.0,146.0,311,53.16,0.13,0.0,0.22,0.0,0.07,0.03,600g,한식
어탕,국 및 탕류,57,86.9,8.47,2.06,1.39,1.21,0.0,53.0,109.0,323,35.04,0.29,0.01,0.0,0.0,0.0,0.0,150g,한식
연포탕,국 및 탕류,54,86.5,9.49,0.9,1.11,2.02,0.02,55.0,103.0,234,105.75,0.18,0.01,0.02,0.0,0.0,0.0,1000g,한식
