식품명,식품대분류명,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),칼슘(mg),칼륨(mg),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),과당(g),유당(g),자당(g),포도당(g),식품중량,식종
햄버거,빵 및 과자류,264,49.8,12.85,13.98,1.67,21.67,3.13,16.0,203.0,450,45.2,4.42,0.35,1.5,0.0,0.0,1.63,200g,한식
간짜장,면 및 만두류,125,73.3,5.12,4.89,1.52,15.13,0.86,12.0,125.0,455,6.05,0.8,0.03,0.09,0.0,0.0,0.77,500g,한식
떡국,면 및 만두류,84,79.0,3.43,0.53,0.65,16.37,0.08,4.0,51.0,176,16.7,0.24,0.0,0.05,0.0,0.0,0.03,700g,한식
떡만두국,면 및 만두류,111,76.3,3.53,3.91,0.76,15.47,0.01,15.0,91.0,206,11.33,0.57,0.02,0.01,0.0,0.0,0.0,600g,한식
라면,면 및 만두류,82,81.5,1.72,2.28,0.9,13.65,0.0,33.0,57.0,283,0.0,0.82,0.01,0.0,0.0,0.0,0.0,550g,한식
수제비,면 및 만두류,58,85.4,2.31,0.52,0.66,11.08,0.0,9.0,106.0,142,12.85,0.15,0.0,0.0,0.0,0.0,0.0,650g,한식
우동볶음,면 및 만두류,128,69.5,2.8,2.01,0.89,24.79,0.43,7.0,110.0,257,0.0,0.49,0.03,0.05,0.0,0.19,0.07,300g,한식
월남쌈,면 및 만두류,118,76.1,5.94,4.97,0.75,12.25,5.5,19.0,145.0,230,31.58,2.13,0.02,2.06,0.0,0.65,1.59,250g,한식
자장면,면 및 만두류,88,79.8,2.69,2.22,0.96,14.37,6.07,12.0,63.0,307,2.05,0.38,0.01,0.46,0.0,0.0,5.62,600g,한식
짬뽕,면 및 만두류,58,86.7,2.79,1.54,0.72,8.26,1.57,12.0,80.0,181,10.52,0.25,0.01,0.38,0.0,0.17,1.01,800g,한식
쫄면,면 및 만두류,129,70.0,3.21,2.52,0.99,23.26,3.51,23.0,130.0,250,0.0,0.22,0.0,1.37,0.0,0.24,1.89,550g,한식
칼국수,면 및 만두류,77,80.5,3.3,0.49,0.76,14.9,0.0,7.0,87.0,220,17.14,0.2,0.0,0.0,0.0,0.0,0.0,700g,한식
콩국수,면 및 만두류,81,83.3,3.9,3.35,0.5,8.92,0.24,22.0,109.0,67,0.0,0.17,0.0,0.02,0.0,0.0,0.05,800g,한식
닭죽,죽 및 스프류,44,89.2,2.68,0.57,0.44,7.14,0.0,4.0,41.0,117,7.45,0.33,0.01,0.0,0.0,0.0,0.0,400g,한식
오리죽,죽 및 스프류,155,67.1,7.5,4.99,0.42,19.95,0.0,11.0,85.0,62,36.07,1.16,0.02,0.0,0.0,0.0,0.0,400g,한식
전복죽,죽 및 스프류,79,84.4,1.82,3.73,0.46,9.62,0.0,2.0,20.0,158,8.62,0.19,0.0,0.0,0.0,0.0,0.0,400g,한식
채소죽,죽 및 스프류,43,89.1,1.69,0.69,0.86,7.62,0.17,9.0,172.0,224,0.0,0.18,0.0,0.08,0.0,0.09,0.0,400g,한식
팥죽,죽 및 스프류,81,79.3,3.17,0.19,0.69,16.66,0.02,10.0,114.0,127,0.0,0.07,0.0,0.02,0.0,0.0,0.0,400g,한식
호박죽,죽 및 스프류,49,89.0,1.93,1.71,0.76,6.58,3.56,11.0,335.0,42,0.0,0.04,0.0,0.48,0.0,2.57,0.51,400g,한식
흑임자 죽,죽 및 스프류,61,89.9,1.1,4.73,0.6,3.64,0.75,35.0,21.0,159,0.0,0.28,0.09,0.0,0.0,0.75,0.0,400g,한식
갈비탕,국 및 탕류,54,88.2,8.51,2.06,0.79,0.4,0.11,14.0,106.0,199,31.46,0.79,0.06,0.06,0.0,0.04,0.01,670g,한식
감자국,국 및 탕류,21,94.4,0.9,0.26,0.8,3.67,0.85,5.0,122.0,215,0.0,0.03,0.0,0.22,0.0,0.15,0.48,400g,한식
곰탕,국 및 탕류,24,94.9,3.43,1.12,0.43,0.11,0.0,7.0,35.0,124,9.04,0.41,0.05,0.0,0.0,0.0,0.0,600g,한식
김치국,국 및 탕류,23,94.4,1.34,0.76,0.83,2.63,0.03,12.0,105.0,208,4.78,0.19,0.0,0.02,0.0,0.0,0.02,400g,한식
내장탕,국 및 탕류,71,87.2,5.82,4.52,0.78,1.68,0.05,10.0,78.0,216,63.89,1.78,0.01,0.04,0.0,0.02,0.0,600g,한식
달걀국,국 및 탕류,13,97.0,0.93,0.74,0.64,0.69,0.0,5.0,19.0,246,31.11,0.27,0.0,0.0,0.0,0.0,0.0,400g,한식
닭곰탕,국 및 탕류,51,88.2,7.51,1.42,0.88,2.0,0.3,9.0,156.0,170,36.02,0.3,0.0,0.3,0.0,0.0,0.0,650g,한식
도가니탕,국 및 탕류,40,90.0,8.35,0.33,0.48,0.82,0.0,8.0,29.0,150,18.34,0.13,0.01,0.0,0.0,0.0,0.0,500g,한식
미역국,국 및 탕류,12,97.2,0.65,0.61,0.66,0.87,0.27,19.0,81.0,168,0.0,0.05,0.0,0.0,0.0,0.0,0.0,400g,한식
북어국,국 및 탕류,28,93.5,3.89,0.98,0.83,0.84,0.12,15.0,111.0,232,21.61,0.17,0.0,0.07,0.0,0.0,0.05,400g,한식
사골국,국 및 탕류,55,88.9,5.56,2.42,0.32,2.81,0.0,4.0,46.0,75,19.12,0.94,0.08,0.0,0.0,0.0,0.0,400g,한식
삼계탕,국 및 탕류,101,80.0,10.68,4.8,0.66,3.84,0.45,14.0,156.0,82,48.19,1.29,0.03,0.0,0.0,0.23,0.13,900g,한식
새우탕,국 및 탕류,33,91.1,5.17,0.44,1.33,2.0,0.06,30.0,186.0,268,32.73,0.09,0.0,0.0,0.0,0.0,0.06,500g,한식
설렁탕,국 및 탕류,24,94.7,4.26,0.58,0.13,0.36,0.0,7.0,23.0,22,6.97,0.23,0.02,0.0,0.0,0.0,0.0,500g,한식
순대국,국 및 탕류,85,79.9,2.35,1.75,1.09,14.95,0.26,15.0,65.0,330,9.67,0.5,0.01,0.0,0.0,0.0,0.26,600g,한식
어묵국(어묵탕),국 및 탕류,31,92.8,1.49,1.03,0.87,3.83,0.07,19.0,110.0,226,2.45,0.07,0.0,0.07,0.0,0.0,0.0,350g,한식
오징어국,국 및 탕류,18,95.4,2.22,0.73,0.91,0.73,0.24,5.0,82.0,257,31.88,0.08,0.0,0.13,0.0,0.0,0.0,500g,한식
육개장,국 및 탕류,30,93.0,3.68,0.99,0.83,1.49,0.76,17.0,121.0,201,10.86,0.17,0.0,0.43,0.0,0.0,0.33,440g,한식
